Kind,Identifier,Term
1,8466,"Object, Biological, Tissue Sample"
2,8466,"Object, Biological, Tissue Sample"
1,8420,"Object, Biological, Van Slyke Apparatus"
2,8420,"Object, Biological, Van Slyke Apparatus"
1,480,"Object, Birdbath"
2,480,"Object, Birdbath"
1,481,"Object, Birdhouse"
2,481,"Object, Birdhouse"
1,482,"Object, Birdhouse, Dovecote"
2,482,"Object, Birdhouse, Dovecote"
1,6489,"Object, Blanket Strake"
2,6489,"Object, Blanket Strake"
1,6345,"Object, Blasting Can"
2,6345,"Object, Blasting Can"
1,6347,"Object, Blasting Cap"
2,6347,"Object, Blasting Cap"
1,6366,"Object, Blasting Cap Crimper"
2,6366,"Object, Blasting Cap Crimper"
1,6413,"Object, Blasting Galvanometer"
2,6413,"Object, Blasting Galvanometer"
1,2730,"Object, Blindfold"
2,2730,"Object, Blindfold"
1,2731,"Object, Blindfold, Sleep Mask"
2,2731,"Object, Blindfold, Sleep Mask"
1,167,"Object, Blower"
2,167,"Object, Blower"
1,5385,"Object, Blowing Machine"
2,5385,"Object, Blowing Machine"
1,5337,"Object, Blowpipe"
2,5337,"Object, Blowpipe"
1,5419,"Object, Blowpipe Rack"
2,5419,"Object, Blowpipe Rack"
1,10602,"Object, Blueprint Machine"
2,10602,"Object, Blueprint Machine"
1,5338,"Object, Blunger"
2,5338,"Object, Blunger"
1,6914,"Object, Bobbin"
2,6914,"Object, Bobbin"
1,6946,"Object, Bobbin Creel"
2,6946,"Object, Bobbin Creel"
1,6915,"Object, Bobbin, Knitting Bobbin"
2,6915,"Object, Bobbin, Knitting Bobbin"
1,6916,"Object, Bobbin, Lace Bobbin"
2,6916,"Object, Bobbin, Lace Bobbin"
1,6917,"Object, Bobbin, Weaving Bobbin"
2,6917,"Object, Bobbin, Weaving Bobbin"
1,1936,"Object, Body Adornments"
2,1936,"Object, Body Adornments"
1,2743,"Object, Body Cushion"
2,2743,"Object, Body Cushion"
1,2744,"Object, Body Cushion, Air Cushion"
2,2744,"Object, Body Cushion, Air Cushion"
1,2746,"Object, Body Cushion, Headring"
2,2746,"Object, Body Cushion, Headring"
1,2745,"Object, Body Cushion, Neck Cushion"
2,2745,"Object, Body Cushion, Neck Cushion"
1,14697,"Object, Body Protector"
2,14697,"Object, Body Protector"
1,14698,"Object, Body Protector, Chest Guard"
2,14698,"Object, Body Protector, Chest Guard"
1,14708,"Object, Body Protector, Chest Protector"
2,14708,"Object, Body Protector, Chest Protector"
1,14699,"Object, Body Protector, Ear Guard"
2,14699,"Object, Body Protector, Ear Guard"
1,14700,"Object, Body Protector, Eye Guard"
2,14700,"Object, Body Protector, Eye Guard"
1,14701,"Object, Body Protector, Foot Guard"
2,14701,"Object, Body Protector, Foot Guard"
1,14704,"Object, Body Protector, Hip Pad"
2,14704,"Object, Body Protector, Hip Pad"
1,14705,"Object, Body Protector, Leg Pad"
2,14705,"Object, Body Protector, Leg Pad"
1,14703,"Object, Body Protector, Mouthguard"
2,14703,"Object, Body Protector, Mouthguard"
1,14706,"Object, Body Protector, Rib Pad"
2,14706,"Object, Body Protector, Rib Pad"
1,14702,"Object, Body Protector, Shin Guard"
2,14702,"Object, Body Protector, Shin Guard"
1,14707,"Object, Body Protector, Shoulder Pad"
2,14707,"Object, Body Protector, Shoulder Pad"
1,2815,"Object, Body Warmer"
2,2815,"Object, Body Warmer"
1,2818,"Object, Body Warmer, Foot Warmer"
2,2818,"Object, Body Warmer, Foot Warmer"
1,2819,"Object, Body Warmer, Hand Warmer"
2,2819,"Object, Body Warmer, Hand Warmer"
1,2817,"Object, Body Warmer, Heating Pad"
2,2817,"Object, Body Warmer, Heating Pad"
1,2816,"Object, Body Warmer, Hot Water Bottle"
2,2816,"Object, Body Warmer, Hot Water Bottle"
1,6329,"Object, Bogie"
2,6329,"Object, Bogie"
1,10216,"Object, Boning Rod"
2,10216,"Object, Boning Rod"
1,2780,"Object, Boot Hook"
2,2780,"Object, Boot Hook"
1,6422,"Object, Borehole Drift Indicator"
2,6422,"Object, Borehole Drift Indicator"
1,6527,"Object, Borer"
2,6527,"Object, Borer"
1,6311,"Object, Boring Bar"
2,6311,"Object, Boring Bar"
1,5339,"Object, Boss"
2,5339,"Object, Boss"
1,5016,"Object, Bottle Serving Rack"
2,5016,"Object, Bottle Serving Rack"
1,4223,"Object, Bottle Sterilizer"
2,4223,"Object, Bottle Sterilizer"
1,5025,"Object, Bottle Stopper"
2,5025,"Object, Bottle Stopper"
1,2928,"Object, Bouquet Holder"
2,2928,"Object, Bouquet Holder"
1,2929,"Object, Bouquet Holder, Nosegay Holder"
2,2929,"Object, Bouquet Holder, Nosegay Holder"
1,14495,"Object, Bowling Gear"
2,14495,"Object, Bowling Gear"
1,14498,"Object, Bowling Gear, Bowling Ball"
2,14498,"Object, Bowling Gear, Bowling Ball"
1,14497,"Object, Bowling Gear, Bowling Ball Bag"
2,14497,"Object, Bowling Gear, Bowling Ball Bag"
1,14505,"Object, Bowling Gear, Bowling Ball Return"
2,14505,"Object, Bowling Gear, Bowling Ball Return"
1,14500,"Object, Bowling Gear, Bowling Glove"
2,14500,"Object, Bowling Gear, Bowling Glove"
1,14501,"Object, Bowling Gear, Bowling Pin"
2,14501,"Object, Bowling Gear, Bowling Pin"
1,14502,"Object, Bowling Gear, Bowling Pin, Candlepin"
2,14502,"Object, Bowling Gear, Bowling Pin, Candlepin"
1,14503,"Object, Bowling Gear, Bowling Pin, Duckpin"
2,14503,"Object, Bowling Gear, Bowling Pin, Duckpin"
1,14499,"Object, Bowling Gear, Bowling Scoring Console"
2,14499,"Object, Bowling Gear, Bowling Scoring Console"
1,14506,"Object, Bowling Gear, Bowling Shoe"
2,14506,"Object, Bowling Gear, Bowling Shoe"
1,14507,"Object, Bowling Gear, Bowling Towel"
2,14507,"Object, Bowling Gear, Bowling Towel"
1,14504,"Object, Bowling Gear, Pinsetter"
2,14504,"Object, Bowling Gear, Pinsetter"
1,14496,"Object, Bowling Gear, Portable Bowling Alley"
2,14496,"Object, Bowling Gear, Portable Bowling Alley"
1,14508,"Object, Boxing Gear"
2,14508,"Object, Boxing Gear"
1,14510,"Object, Boxing Gear, Boxing Glove"
2,14510,"Object, Boxing Gear, Boxing Glove"
1,14511,"Object, Boxing Gear, Boxing Ring"
2,14511,"Object, Boxing Gear, Boxing Ring"
1,14509,"Object, Boxing Gear, Punching Bag"
2,14509,"Object, Boxing Gear, Punching Bag"
1,362,"Object, Brace"
2,362,"Object, Brace"
1,220,"Object, Bracket"
2,220,"Object, Bracket"
1,221,"Object, Bracket, Flag Bracket"
2,221,"Object, Bracket, Flag Bracket"
1,222,"Object, Bracket, Flowerpot Bracket"
2,222,"Object, Bracket, Flowerpot Bracket"
1,223,"Object, Bracket, Handrail Bracket"
2,223,"Object, Bracket, Handrail Bracket"
1,224,"Object, Bracket, Lamp Bracket"
2,224,"Object, Bracket, Lamp Bracket"
1,225,"Object, Bracket, Shelf Bracket"
2,225,"Object, Bracket, Shelf Bracket"
1,226,"Object, Bracket, Wall Bracket"
2,226,"Object, Bracket, Wall Bracket"
1,6922,"Object, Braider"
2,6922,"Object, Braider"
1,6943,"Object, Braiding Cone"
2,6943,"Object, Braiding Cone"
1,14973,"Object, Brannock Device"
2,14973,"Object, Brannock Device"
1,14008,"Object, Brassard"
2,14008,"Object, Brassard"
1,2799,"Object, Breast Pump"
2,2799,"Object, Breast Pump"
1,2724,"Object, Breathing Apparatus"
2,2724,"Object, Breathing Apparatus"
1,2728,"Object, Breathing Apparatus, Breathing Regulator"
2,2728,"Object, Breathing Apparatus, Breathing Regulator"
1,2729,"Object, Breathing Apparatus, Breathing Tank"
2,2729,"Object, Breathing Apparatus, Breathing Tank"
1,2726,"Object, Breathing Apparatus, Cup Mask"
2,2726,"Object, Breathing Apparatus, Cup Mask"
1,2725,"Object, Breathing Apparatus, Hookah"
2,2725,"Object, Breathing Apparatus, Hookah"
1,2727,"Object, Breathing Apparatus, Respirator Mask"
2,2727,"Object, Breathing Apparatus, Respirator Mask"
1,3638,"Object, Breeding Crate"
2,3638,"Object, Breeding Crate"
1,3639,"Object, Breeding Crate, Hog Breeding Crate"
2,3639,"Object, Breeding Crate, Hog Breeding Crate"
1,3635,"Object, Breeding Equipment"
2,3635,"Object, Breeding Equipment"
1,49,"Object, Brick"
2,49,"Object, Brick"
1,50,"Object, Brick, Adobe"
2,50,"Object, Brick, Adobe"
1,51,"Object, Brick, Air Brick"
2,51,"Object, Brick, Air Brick"
1,52,"Object, Brick, Ashlar Brick"
2,52,"Object, Brick, Ashlar Brick"
1,53,"Object, Brick, Backing Brick"
2,53,"Object, Brick, Backing Brick"
1,54,"Object, Brick, Building Brick"
2,54,"Object, Brick, Building Brick"
1,55,"Object, Brick, Capping Brick"
2,55,"Object, Brick, Capping Brick"
1,56,"Object, Brick, Face Brick"
2,56,"Object, Brick, Face Brick"
1,58,"Object, Brick, Firebrick"
2,58,"Object, Brick, Firebrick"
1,57,"Object, Brick, Roman Brick"
2,57,"Object, Brick, Roman Brick"
1,13256,"Object, Bride's Cup"
2,13256,"Object, Bride's Cup"
1,13257,"Object, Bridesmaid Dress"
2,13257,"Object, Bridesmaid Dress"
1,6528,"Object, Brush"
2,6528,"Object, Brush"
1,4464,"Object, Brush Machine"
2,4464,"Object, Brush Machine"
1,14819,"Object, Bubble Toy"
2,14819,"Object, Bubble Toy"
1,14820,"Object, Bubble Toy, Bubble Blower"
2,14820,"Object, Bubble Toy, Bubble Blower"
1,14821,"Object, Bubble Toy, Bubble Blower, Bubble Pipe"
2,14821,"Object, Bubble Toy, Bubble Blower, Bubble Pipe"
1,14822,"Object, Bubble Toy, Bubble Wand"
2,14822,"Object, Bubble Toy, Bubble Wand"
1,6341,"Object, Bucketline"
2,6341,"Object, Bucketline"
1,6424,"Object, Bucking Iron"
2,6424,"Object, Bucking Iron"
1,79,"Object, Building Stone"
2,79,"Object, Building Stone"
1,80,"Object, Building Stone, Cornerstone"
2,80,"Object, Building Stone, Cornerstone"
1,81,"Object, Building Stone, Date Stone"
2,81,"Object, Building Stone, Date Stone"
1,82,"Object, Building Stone, Dimension Stone"
2,82,"Object, Building Stone, Dimension Stone"
1,83,"Object, Building Stone, Dimension Stone, Ashlar"
2,83,"Object, Building Stone, Dimension Stone, Ashlar"
1,84,"Object, Building Stone, Dimension Stone, Dressed Stone"
2,84,"Object, Building Stone, Dimension Stone, Dressed Stone"
1,85,"Object, Building Stone, Quoin Stone"
2,85,"Object, Building Stone, Quoin Stone"
1,86,"Object, Building Stone, Voussoir"
2,86,"Object, Building Stone, Voussoir"
1,87,"Object, Building Stone, Voussoir, Keystone"
2,87,"Object, Building Stone, Voussoir, Keystone"
1,88,"Object, Building Stone, Voussoir, Springer"
2,88,"Object, Building Stone, Voussoir, Springer"
1,13102,"Object, Bull-Roarer"
2,13102,"Object, Bull-Roarer"
1,14512,"Object, Bullfighting Gear"
2,14512,"Object, Bullfighting Gear"
1,14513,"Object, Bullfighting Gear, Banderilla"
2,14513,"Object, Bullfighting Gear, Banderilla"
1,14514,"Object, Bullfighting Gear, Estoque"
2,14514,"Object, Bullfighting Gear, Estoque"
1,14515,"Object, Bullfighting Gear, Muleta"
2,14515,"Object, Bullfighting Gear, Muleta"
1,14516,"Object, Bullfighting Gear, Rejon"
2,14516,"Object, Bullfighting Gear, Rejon"
1,4694,"Object, Bung"
2,4694,"Object, Bung"
1,2788,"Object, Bunion Pad"
2,2788,"Object, Bunion Pad"
1,13055,"Object, Bunting"
2,13055,"Object, Bunting"
1,13006,"Object, Burial Mask"
2,13006,"Object, Burial Mask"
1,13016,"Object, Burial Shroud"
2,13016,"Object, Burial Shroud"
1,13017,"Object, Burial Shroud, Kittel"
2,13017,"Object, Burial Shroud, Kittel"
1,5492,"Object, Burnisher"
2,5492,"Object, Burnisher"
1,7085,"Object, Burr Remover"
2,7085,"Object, Burr Remover"
1,6312,"Object, Busting Bar"
2,6312,"Object, Busting Bar"
1,4481,"Object, Butchering Tool"
2,4481,"Object, Butchering Tool"
1,4486,"Object, Butchering Tool, Bone Cutter"
2,4486,"Object, Butchering Tool, Bone Cutter"
1,4498,"Object, Butchering Tool, Butchering Skewer"
2,4498,"Object, Butchering Tool, Butchering Skewer"
1,4496,"Object, Butchering Tool, Casing Scraper"
2,4496,"Object, Butchering Tool, Casing Scraper"
1,4487,"Object, Butchering Tool, Deflesher"
2,4487,"Object, Butchering Tool, Deflesher"
1,4489,"Object, Butchering Tool, Dressing Hoist"
2,4489,"Object, Butchering Tool, Dressing Hoist"
1,4495,"Object, Butchering Tool, Hog Scalder"
2,4495,"Object, Butchering Tool, Hog Scalder"
1,4497,"Object, Butchering Tool, Hog Scraper"
2,4497,"Object, Butchering Tool, Hog Scraper"
1,4499,"Object, Butchering Tool, Meat Cutting Table"
2,4499,"Object, Butchering Tool, Meat Cutting Table"
1,4483,"Object, Butchering Tool, Meat Hanging Bar"
2,4483,"Object, Butchering Tool, Meat Hanging Bar"
1,4484,"Object, Butchering Tool, Meat Hanging Bar, Gambrel"
2,4484,"Object, Butchering Tool, Meat Hanging Bar, Gambrel"
1,4490,"Object, Butchering Tool, Meat Hook"
2,4490,"Object, Butchering Tool, Meat Hook"
1,4494,"Object, Butchering Tool, Meat Saw"
2,4494,"Object, Butchering Tool, Meat Saw"
1,4491,"Object, Butchering Tool, Poultry Killing Knife"
2,4491,"Object, Butchering Tool, Poultry Killing Knife"
1,4492,"Object, Butchering Tool, Skinning Knife"
2,4492,"Object, Butchering Tool, Skinning Knife"
1,4482,"Object, Butchering Tool, Slaughtering Ax"
2,4482,"Object, Butchering Tool, Slaughtering Ax"
1,4485,"Object, Butchering Tool, Slaughtering Bench"
2,4485,"Object, Butchering Tool, Slaughtering Bench"
1,4488,"Object, Butchering Tool, Slaughtering Hammer"
2,4488,"Object, Butchering Tool, Slaughtering Hammer"
1,4493,"Object, Butchering Tool, Sticking Knife"
2,4493,"Object, Butchering Tool, Sticking Knife"
1,13103,"Object, Butsudan"
2,13103,"Object, Butsudan"
1,6766,"Object, Button Breaker"
2,6766,"Object, Button Breaker"
1,5536,"Object, Button Fastener"
2,5536,"Object, Button Fastener"
1,2697,"Object, Button Polishing Board"
2,2697,"Object, Button Polishing Board"
1,6811,"Object, Buttonhole Guide"
2,6811,"Object, Buttonhole Guide"
1,2737,"Object, Buttonhook"
2,2737,"Object, Buttonhook"
1,364,"Object, Buttress"
2,364,"Object, Buttress"
1,6529,"Object, Cable"
2,6529,"Object, Cable"
1,11274,"Object, Cable Connector"
2,11274,"Object, Cable Connector"
1,8751,"Object, Cable Fault Locator"
2,8751,"Object, Cable Fault Locator"
1,6530,"Object, Cable, Guy"
2,6530,"Object, Cable, Guy"
1,4952,"Object, Caddinet"
2,4952,"Object, Caddinet"
1,6342,"Object, Cadger"
2,6342,"Object, Cadger"
1,13082,"Object, Cake Candle"
2,13082,"Object, Cake Candle"
1,13084,"Object, Cake Decoration"
2,13084,"Object, Cake Decoration"
1,4130,"Object, Cake Dowel"
2,4130,"Object, Cake Dowel"
1,4226,"Object, Cake Tester"
2,4226,"Object, Cake Tester"
1,10321,"Object, Caliper"
2,10321,"Object, Caliper"
1,10322,"Object, Caliper, Double Caliper"
2,10322,"Object, Caliper, Double Caliper"
1,10323,"Object, Caliper, Hermaphrodite Caliper"
2,10323,"Object, Caliper, Hermaphrodite Caliper"
1,10324,"Object, Caliper, Inside Caliper"
2,10324,"Object, Caliper, Inside Caliper"
1,10325,"Object, Caliper, Outside Caliper"
2,10325,"Object, Caliper, Outside Caliper"
1,10326,"Object, Caliper, Vernier Caliper"
2,10326,"Object, Caliper, Vernier Caliper"
1,3684,"Object, Calk Tool"
2,3684,"Object, Calk Tool"
1,3685,"Object, Calk Tool, Calk Driver"
2,3685,"Object, Calk Tool, Calk Driver"
1,3686,"Object, Calk Tool, Calk Extractor"
2,3686,"Object, Calk Tool, Calk Extractor"
1,3687,"Object, Calk Tool, Calk Wrench"
2,3687,"Object, Calk Tool, Calk Wrench"
1,6587,"Object, Calking Gun"
2,6587,"Object, Calking Gun"
1,11271,"Object, Call Box"
2,11271,"Object, Call Box"
1,11186,"Object, Call Button"
2,11186,"Object, Call Button"
1,3026,"Object, Callus Knife"
2,3026,"Object, Callus Knife"
1,13056,"Object, Calumet"
2,13056,"Object, Calumet"
1,4013,"Object, Camp Box"
2,4013,"Object, Camp Box"
1,13074,"Object, Campaign Torch"
2,13074,"Object, Campaign Torch"
1,5422,"Object, Candle Dipping Reel"
2,5422,"Object, Candle Dipping Reel"
1,13005,"Object, Candle Hearse"
2,13005,"Object, Candle Hearse"
1,4217,"Object, Candy Making Slab"
2,4217,"Object, Candy Making Slab"
1,4466,"Object, Cane Mill"
2,4466,"Object, Cane Mill"
1,3712,"Object, Canine Gag"
2,3712,"Object, Canine Gag"
1,4141,"Object, Canned Fuel"
2,4141,"Object, Canned Fuel"
1,4500,"Object, Canning Tool"
2,4500,"Object, Canning Tool"
1,4502,"Object, Canning Tool, Canner"
2,4502,"Object, Canning Tool, Canner"
1,4501,"Object, Canning Tool, Canning Autoclave"
2,4501,"Object, Canning Tool, Canning Autoclave"
1,4503,"Object, Canning Tool, Canning Funnel"
2,4503,"Object, Canning Tool, Canning Funnel"
1,4506,"Object, Canning Tool, Canning Rack"
2,4506,"Object, Canning Tool, Canning Rack"
1,4507,"Object, Canning Tool, Canning Retort"
2,4507,"Object, Canning Tool, Canning Retort"
1,4508,"Object, Canning Tool, Jar Lid Seal"
2,4508,"Object, Canning Tool, Jar Lid Seal"
1,4505,"Object, Canning Tool, Jar Lifter"
2,4505,"Object, Canning Tool, Jar Lifter"
1,4509,"Object, Canning Tool, Jar Wrench"
2,4509,"Object, Canning Tool, Jar Wrench"
1,4504,"Object, Canning Tool, Preserving Jar"
2,4504,"Object, Canning Tool, Preserving Jar"
1,4768,"Object, Canteen"
2,4768,"Object, Canteen"
1,4769,"Object, Cantir"
2,4769,"Object, Cantir"
1,14754,"Object, Cap Exploder"
2,14754,"Object, Cap Exploder"
1,8786,"Object, Capacitor"
2,8786,"Object, Capacitor"
1,8787,"Object, Capacitor, Electrolytic Capacitor"
2,8787,"Object, Capacitor, Electrolytic Capacitor"
1,8788,"Object, Capacitor, Variable Capacitor"
2,8788,"Object, Capacitor, Variable Capacitor"
1,365,"Object, Capital"
2,365,"Object, Capital"
1,14823,"Object, Car Toy"
2,14823,"Object, Car Toy"
1,5024,"Object, Carafe Stand"
2,5024,"Object, Carafe Stand"
1,6346,"Object, Carbide Can"
2,6346,"Object, Carbide Can"
1,6971,"Object, Card Grinder"
2,6971,"Object, Card Grinder"
1,6909,"Object, Carding Bench"
2,6909,"Object, Carding Bench"
1,11813,"Object, Cargo Carrier"
2,11813,"Object, Cargo Carrier"
1,11814,"Object, Cargo Carrier, Bicycle Bag"
2,11814,"Object, Cargo Carrier, Bicycle Bag"
1,11816,"Object, Cargo Carrier, Bicycle Basket"
2,11816,"Object, Cargo Carrier, Bicycle Basket"
1,11817,"Object, Cargo Carrier, Luggage Net"
2,11817,"Object, Cargo Carrier, Luggage Net"
1,11819,"Object, Cargo Carrier, Luggage Rack"
2,11819,"Object, Cargo Carrier, Luggage Rack"
1,11818,"Object, Cargo Carrier, Motorcycle Pannier"
2,11818,"Object, Cargo Carrier, Motorcycle Pannier"
1,11820,"Object, Cargo Carrier, Saddlebag"
2,11820,"Object, Cargo Carrier, Saddlebag"
1,11821,"Object, Cargo Carrier, Saddlebag, Mochila"
2,11821,"Object, Cargo Carrier, Saddlebag, Mochila"
1,11815,"Object, Cargo Carrier, Water Bag"
2,11815,"Object, Cargo Carrier, Water Bag"
1,5661,"Object, Carlet"
2,5661,"Object, Carlet"
1,6,"Object, Carport"
2,6,"Object, Carport"
1,11802,"Object, Carriage Apron"
2,11802,"Object, Carriage Apron"
1,11808,"Object, Carriage Blanket"
2,11808,"Object, Carriage Blanket"
1,11905,"Object, Carriage Parasol"
2,11905,"Object, Carriage Parasol"
1,2824,"Object, Carrying Bag"
2,2824,"Object, Carrying Bag"
1,2825,"Object, Carrying Bag, Backpack"
2,2825,"Object, Carrying Bag, Backpack"
1,2826,"Object, Carrying Bag, Bandolier Bag"
2,2826,"Object, Carrying Bag, Bandolier Bag"
1,2827,"Object, Carrying Bag, Barrack Bag"
2,2827,"Object, Carrying Bag, Barrack Bag"
1,2848,"Object, Carrying Bag, Bindle"
2,2848,"Object, Carrying Bag, Bindle"
1,2849,"Object, Carrying Bag, Carpetbag"
2,2849,"Object, Carrying Bag, Carpetbag"
1,2853,"Object, Carrying Bag, Carrying Pouch"
2,2853,"Object, Carrying Bag, Carrying Pouch"
1,2854,"Object, Carrying Bag, Carrying Pouch, Pocket"
2,2854,"Object, Carrying Bag, Carrying Pouch, Pocket"
1,2855,"Object, Carrying Bag, Carrying Pouch, Sporran"
2,2855,"Object, Carrying Bag, Carrying Pouch, Sporran"
1,2828,"Object, Carrying Bag, Chatelaine Bag"
2,2828,"Object, Carrying Bag, Chatelaine Bag"
1,2829,"Object, Carrying Bag, Collar Bag"
2,2829,"Object, Carrying Bag, Collar Bag"
1,2830,"Object, Carrying Bag, Diaper Bag"
2,2830,"Object, Carrying Bag, Diaper Bag"
1,2831,"Object, Carrying Bag, Ditty Bag"
2,2831,"Object, Carrying Bag, Ditty Bag"
1,2832,"Object, Carrying Bag, Doctor's Bag"
2,2832,"Object, Carrying Bag, Doctor's Bag"
1,14958,"Object, Carrying Bag, Dry Bag"
2,14958,"Object, Carrying Bag, Dry Bag"
1,2833,"Object, Carrying Bag, Duffel Bag"
2,2833,"Object, Carrying Bag, Duffel Bag"
1,2851,"Object, Carrying Bag, Fanny Pack"
2,2851,"Object, Carrying Bag, Fanny Pack"
1,2834,"Object, Carrying Bag, Garment Bag"
2,2834,"Object, Carrying Bag, Garment Bag"
1,2850,"Object, Carrying Bag, Haversack"
2,2850,"Object, Carrying Bag, Haversack"
1,2835,"Object, Carrying Bag, Kit Bag"
2,2835,"Object, Carrying Bag, Kit Bag"
1,2836,"Object, Carrying Bag, Lingerie Bag"
2,2836,"Object, Carrying Bag, Lingerie Bag"
1,2837,"Object, Carrying Bag, Mail Carrier's Bag"
2,2837,"Object, Carrying Bag, Mail Carrier's Bag"
1,2838,"Object, Carrying Bag, Messenger Bag"
2,2838,"Object, Carrying Bag, Messenger Bag"
1,2839,"Object, Carrying Bag, Newspaper Carrier's Bag"
2,2839,"Object, Carrying Bag, Newspaper Carrier's Bag"
1,2840,"Object, Carrying Bag, Pajama Bag"
2,2840,"Object, Carrying Bag, Pajama Bag"
1,2852,"Object, Carrying Bag, Parfleche"
2,2852,"Object, Carrying Bag, Parfleche"
1,2856,"Object, Carrying Bag, Purse"
2,2856,"Object, Carrying Bag, Purse"
1,2859,"Object, Carrying Bag, Purse, Change Purse"
2,2859,"Object, Carrying Bag, Purse, Change Purse"
1,2857,"Object, Carrying Bag, Purse, Clutch Bag"
2,2857,"Object, Carrying Bag, Purse, Clutch Bag"
1,2858,"Object, Carrying Bag, Purse, Evening Bag"
2,2858,"Object, Carrying Bag, Purse, Evening Bag"
1,2860,"Object, Carrying Bag, Reticule"
2,2860,"Object, Carrying Bag, Reticule"
1,2861,"Object, Carrying Bag, Sabratache"
2,2861,"Object, Carrying Bag, Sabratache"
1,2862,"Object, Carrying Bag, Satchel"
2,2862,"Object, Carrying Bag, Satchel"
1,2841,"Object, Carrying Bag, School Bag"
2,2841,"Object, Carrying Bag, School Bag"
1,2842,"Object, Carrying Bag, Shoe Bag"
2,2842,"Object, Carrying Bag, Shoe Bag"
1,2843,"Object, Carrying Bag, Shoulder Bag"
2,2843,"Object, Carrying Bag, Shoulder Bag"
1,2844,"Object, Carrying Bag, Shoulder Bag, Sling Bag"
2,2844,"Object, Carrying Bag, Shoulder Bag, Sling Bag"
1,2845,"Object, Carrying Bag, Sport Bag"
2,2845,"Object, Carrying Bag, Sport Bag"
1,2846,"Object, Carrying Bag, Toiletry Bag"
2,2846,"Object, Carrying Bag, Toiletry Bag"
1,2847,"Object, Carrying Bag, Tote Bag"
2,2847,"Object, Carrying Bag, Tote Bag"
1,2863,"Object, Carrying Basket"
2,2863,"Object, Carrying Basket"
1,2864,"Object, Carrying Basket, Burden Basket"
2,2864,"Object, Carrying Basket, Burden Basket"
1,2865,"Object, Carrying Basket, Pack Basket"
2,2865,"Object, Carrying Basket, Pack Basket"
1,2942,"Object, Carrying Strap"
2,2942,"Object, Carrying Strap"
1,2943,"Object, Carrying Strap, Tumpline"
2,2943,"Object, Carrying Strap, Tumpline"
1,5361,"Object, Carrying-In Fork"
2,5361,"Object, Carrying-In Fork"
1,5040,"Object, Carving Set"
2,5040,"Object, Carving Set"
1,4035,"Object, Carving Steel"
2,4035,"Object, Carving Steel"
1,6354,"Object, Casing"
2,6354,"Object, Casing"
1,6417,"Object, Casing Head"
2,6417,"Object, Casing Head"
1,6496,"Object, Casing Tester"
2,6496,"Object, Casing Tester"
1,4748,"Object, Cask Stand"
2,4748,"Object, Cask Stand"
1,4999,"Object, Casserole Holder"
2,4999,"Object, Casserole Holder"
1,3766,"Object, Castration Tool"
2,3766,"Object, Castration Tool"
1,3769,"Object, Castration Tool, Castrating Knife"
2,3769,"Object, Castration Tool, Castrating Knife"
1,3767,"Object, Castration Tool, Elastrator Band"
2,3767,"Object, Castration Tool, Elastrator Band"
1,3770,"Object, Castration Tool, Elastrator Pliers"
2,3770,"Object, Castration Tool, Elastrator Pliers"
1,3768,"Object, Castration Tool, Emasculator"
2,3768,"Object, Castration Tool, Emasculator"
1,10174,"Object, Cathetometer"
2,10174,"Object, Cathetometer"
1,7,"Object, Catwalk"
2,7,"Object, Catwalk"
1,3749,"Object, Cauterizing Iron"
2,3749,"Object, Cauterizing Iron"
1,5199,"Object, Celery Vase"
2,5199,"Object, Celery Vase"
1,8370,"Object, Celestial Globe"
2,8370,"Object, Celestial Globe"
1,8373,"Object, Celestial Globe, Armillary Sphere"
2,8373,"Object, Celestial Globe, Armillary Sphere"
1,8371,"Object, Celestial Globe, Cosmosphere"
2,8371,"Object, Celestial Globe, Cosmosphere"
1,8372,"Object, Celestial Globe, Geodescope"
2,8372,"Object, Celestial Globe, Geodescope"
1,8,"Object, Cellar"
2,8,"Object, Cellar"
1,9,"Object, Cellar, Root Cellar"
2,9,"Object, Cellar, Root Cellar"
1,10,"Object, Cellar, Storm Cellar"
2,10,"Object, Cellar, Storm Cellar"
1,11,"Object, Cellar, Wine Cellar"
2,11,"Object, Cellar, Wine Cellar"
1,6531,"Object, Celt"
2,6531,"Object, Celt"
1,6423,"Object, Cement Injector"
2,6423,"Object, Cement Injector"
1,194,"Object, Central Air Conditioner"
2,194,"Object, Central Air Conditioner"
1,13207,"Object, Ceremonial Rattle"
2,13207,"Object, Ceremonial Rattle"
1,6532,"Object, Chain"
2,6532,"Object, Chain"
1,12005,"Object, Chain Tightener"
2,12005,"Object, Chain Tightener"
1,10210,"Object, Chaining Pin"
2,10210,"Object, Chaining Pin"
1,14451,"Object, Chalk Ball"
2,14451,"Object, Chalk Ball"
1,6356,"Object, Changkol"
2,6356,"Object, Changkol"
1,2920,"Object, Checkbook Cover"
2,2920,"Object, Checkbook Cover"
1,14980,"Object, Cheerleading Pom"
2,14980,"Object, Cheerleading Pom"
1,8476,"Object, Chemical, Actinograph"
2,8476,"Object, Chemical, Actinograph"
1,8477,"Object, Chemical, Actinometer"
2,8477,"Object, Chemical, Actinometer"
1,8478,"Object, Chemical, Alkalimeter"
2,8478,"Object, Chemical, Alkalimeter"
1,8480,"Object, Chemical, Anthrocometer"
2,8480,"Object, Chemical, Anthrocometer"
1,8490,"Object, Chemical, Aquameter"
2,8490,"Object, Chemical, Aquameter"
