Kind,Identifier,Term
1,13662,"Document, Correspondence, Electronic Mail"
1,13650,"Document, Correspondence, Greeting Card"
1,13651,"Document, Correspondence, Greeting Card, Congratulatory Card"
1,13652,"Document, Correspondence, Greeting Card, Courting Card"
1,13653,"Document, Correspondence, Greeting Card, Get Well Card"
1,13654,"Document, Correspondence, Greeting Card, Holiday Card"
1,13655,"Document, Correspondence, Greeting Card, Sympathy Card"
1,13656,"Document, Correspondence, Greeting Card, Valentine"
1,13658,"Document, Correspondence, Letter"
1,13659,"Document, Correspondence, Letter, Form Letter"
1,13660,"Document, Correspondence, Letter, Recommendation Letter"
1,13661,"Document, Correspondence, Letter, Referral Letter"
1,13663,"Document, Correspondence, Memorandum"
1,13664,"Document, Correspondence, Telegram"
1,13665,"Document, Correspondence, V-Mail"
1,13670,"Document, Decal"
1,13307,"Document, Declaration"
1,13291,"Document, Declaratory Documents"
1,13308,"Document, Decree"
1,13672,"Document, Digital Document"
1,13673,"Document, Digital Document, Database"
1,13674,"Document, Digital Document, Spreadsheet"
1,13671,"Document, Display"
1,13666,"Document, Document Cover"
1,13668,"Document, Document Cover, Book Jacket"
1,13669,"Document, Document Cover, Book Slipcase"
1,13667,"Document, Document Cover, Map Cover"
1,13685,"Document, Document File"
1,13622,"Document, Documentary Card"
1,13623,"Document, Documentary Card, Attendance Card"
1,13624,"Document, Documentary Card, Autograph Card"
1,13625,"Document, Documentary Card, Catalog Card"
1,13626,"Document, Documentary Card, Collecting Card"
1,13627,"Document, Documentary Card, Collecting Card, Baseball Card"
1,13628,"Document, Documentary Card, Escort Card"
1,13629,"Document, Documentary Card, Inspirational Card"
1,13630,"Document, Documentary Card, Insurance Card"
1,13633,"Document, Documentary Card, Placecard"
1,13631,"Document, Documentary Card, QSL Card"
1,13632,"Document, Documentary Card, Report Card"
1,13682,"Document, Draft"
1,13683,"Document, Draft, Layout"
1,13684,"Document, Draft, Printing Proof"
1,13309,"Document, Editorial"
1,13315,"Document, Financial, Appraisal"
